2025-09-21 19:01:39,771 - INFO] Time 0.114 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 33.334 (31.462) | MSSSIM 0.967 (0.951) | Lr 0.0001
2025-09-21 19:01:39,923 - INFO] Time 0.075 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 28.370 (31.290) | MSSSIM 0.928 (0.949) | Lr 0.0001
2025-09-21 19:01:40,075 - INFO] Time 0.076 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 31.733 (31.313) | MSSSIM 0.953 (0.949) | Lr 0.0001
2025-09-21 19:01:40,265 - INFO] Time 0.114 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 34.088 (31.452) | MSSSIM 0.975 (0.951) | Lr 0.0001
2025-09-21 19:01:40,417 - INFO] Time 0.075 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 30.097 (31.387) | MSSSIM 0.957 (0.951) | Lr 0.0001
2025-09-21 19:01:40,570 - INFO] Time 0.076 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 30.908 (31.366) | MSSSIM 0.934 (0.950) | Lr 0.0001
2025-09-21 19:01:40,721 - INFO] Time 0.075 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 35.485 (31.545) | MSSSIM 0.973 (0.951) | Lr 0.0001
2025-09-21 19:01:40,874 - INFO] Time 0.076 | CBR 0.1250 (0.1250) | SNR 1.0 | PSNR 28.371 (31.413) | MSSSIM 0.942 (0.951) | Lr 0.0001
2025-09-21 19:01:41,025 - INFO] Time 0.075 | CBR 0.0208 (0.0208) | SNR 4.0 | PSNR 19.916 (19.916) | MSSSIM 0.534 (0.534) | Lr 0.0001
2025-09-21 19:01:41,178 - INFO] Time 0.075 | CBR 0.0208 (0.0208) | SNR 4.0 | PSNR 22.583 (21.249) | MSSSIM 0.720 (0.627) | Lr 0.0001
2025-09-21 19:01:41,333 - INFO] Time 0.079 | CBR 0.0208 (0.0208) | SNR 4.0 | PSNR 21.474 (21.324) | MSSSIM 0.770 (0.675) | Lr 0.0001
2025-09-21 19:01:41,532 - INFO] Time 0.118 | CBR 0.0208 (0.0208) | SNR 4.0 | PSNR 22.506 (21.620) | MSSSIM 0.750 (0.693) | Lr 0.0001
2025-09-21 19:01:41,729 - INFO] Time 0.117 | CBR 0.0208 (0.0208) | SNR 4.0 | PSNR 17.060 (20.708) | MSSSIM 0.419 (0.639) | Lr 0.0001
2025-09-21 19:01:41,886 - INFO] Time 0.078 | CBR 0.0208 (0.0208) | SNR 4.0 | PSNR 21.214 (20.792) | MSSSIM 0.637 (0.638) | Lr 0.0001
2025-09-21 19:01:42,045 - INFO] Time 0.078 | CBR 0.0208 (0.0208) | SNR 4.0 | PSNR 20.557 (20.758) | MSSSIM 0.662 (0.642) | Lr 0.0001
